id,neo_reference_id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity_kmph,astronomical,miss_distance_km,miss_distance_lunar,orbiting_body
54419014,54419014,(2024 AP),22.09,0.1015207872,0.2270073813,False,2024-01-12,72963.0535551091,0.0886980344,13269037.019426728,34.5035353816,Earth
54419484,54419484,(2024 AP1),25.28,0.0233644185,0.052244428,False,2024-01-12,19328.2611937866,0.1129802722,16901608.073140215,43.9493258858,Earth
54419695,54419695,(2024 AR2),26.42,0.0138214936,0.0309057992,False,2024-01-12,69101.4816209329,0.0084706389,1267189.536979143,3.2950785321,Earth
54420156,54420156,(2024 AW3),21.76,0.1181829909,0.2642652014,False,2024-01-12,75132.4170737232,0.1298128594,19419727.264849477,50.4972023066,Earth
54421916,54421916,(2024 BF2),25.68,0.0194336768,0.0434550225,False,2024-01-12,27147.6778181788,0.0749955061,11219167.972132007,29.1732518729,Earth
2430804,2430804,430804 (2005 AD13),17.89,0.7023522477,1.57050737,True,2024-01-14,104426.5701846456,0.1362919881,20388991.117825348,53.0175833709,Earth
2456946,2456946,456946 (2008 AF32),21.31,0.1453968429,0.3251172245,False,2024-01-14,55720.3390834158,0.2581479415,38618382.19328461,100.4195492435,Earth
3591722,3591722,(2011 YJ28),21.32,0.1447288051,0.3236234466,True,2024-01-14,51262.2347094626,0.1346357992,20141228.786067706,52.3733258888,Earth
3655395,3655395,(2013 YM2),25.7,0.0192555078,0.0430566244,False,2024-01-14,35494.6811692365,0.1887164336,28231576.50055643,73.4106926704,Earth
3741440,3741440,(2016 CL18),23.93,0.0435065831,0.0972836774,False,2024-01-14,52807.5611326127,0.0908964443,13597914.457853641,35.3587168327,Earth
3831897,3831897,(2018 UM1),23.64,0.0497227313,0.1111834072,False,2024-01-14,24094.766857775,0.3455623631,51695393.4719266,134.4237592459,Earth
3836709,3836709,(2018 XC),25.7,0.0192555078,0.0430566244,False,2024-01-14,45757.6956314381,0.3188833696,47704272.87058275,124.0456307744,Earth
3840783,3840783,(2019 GE1),27.0,0.0105816886,0.023661375,False,2024-01-14,21128.6396535877,0.2232475017,33397350.73714138,86.8432781613,Earth
3869336,3869336,(2019 SF6),26.26,0.014878357,0.0332690178,False,2024-01-14,23396.4168596765,0.3700489777,55358538.8595975,143.9490523253,Earth
54145781,54145781,(2021 KB),26.02,0.0166170902,0.0371569432,False,2024-01-14,65421.6017590868,0.1866232241,27918436.817892667,72.5964341749,Earth
54312818,54312818,(2022 SL49),22.86,0.0712122941,0.1592355304,False,2024-01-14,44165.6261345696,0.3924220631,58705504.7807656,152.6521825459,Earth
54354331,54354331,(2023 GM1),27.29,0.0092588058,0.0207033192,False,2024-01-14,23440.8025502854,0.2864754245,42856113.31254581,111.4389401305,Earth
54407117,54407117,(2023 WT1),22.42,0.0872077289,0.19500241,False,2024-01-14,36007.3581333725,0.1315823971,19684446.335654177,51.1855524719,Earth
54419125,54419125,(2024 AY),24.38,0.0353634784,0.0790751417,False,2024-01-14,10984.9626137281,0.1732239993,25913941.32816149,67.3841357277,Earth
54419810,54419810,(2024 AF3),26.96,0.0107784169,0.0241012728,False,2024-01-14,24253.6307445184,0.0224838924,3363542.412349188,8.7462341436,Earth
54419811,54419811,(2024 AG3),27.67,0.007772397,0.0173796081,False,2024-01-14,35260.3648467278,0.0113529298,1698374.116339526,4.4162896922,Earth
54420280,54420280,(2024 AZ3),28.78,0.0046618144,0.0104241338,False,2024-01-14,36067.9313931239,0.0016636833,248883.478034571,0.6471728037,Earth
54420784,54420784,(2024 AQ4),25.76,0.0187307418,0.0418832119,False,2024-01-14,35259.3528833588,0.008324656,1245350.80608272,3.238291184,Earth
54421067,54421067,(2024 BE),24.04,0.0413575665,0.0924783301,False,2024-01-14,40914.9535248713,0.0710180944,10624155.653698929,27.6260387216,Earth
54421076,54421076,(2024 BK),24.71,0.0303777061,0.0679266159,False,2024-01-14,55652.9949778662,0.0221271371,3310172.579357977,8.6074563319,Earth
54421642,54421642,(2024 BO1),25.2,0.0242412481,0.0542050786,False,2024-01-14,56285.9640915746,0.1424550775,21310976.164684925,55.4150251475,Earth
54421649,54421649,(2024 BV1),27.21,0.0096062741,0.021480282,False,2024-01-14,41574.1244745762,0.0212199768,3174463.330729416,8.2545709752,Earth
54422165,54422165,(2024 BV2),27.67,0.007772397,0.0173796081,False,2024-01-14,19116.8038477712,0.025918578,3877364.06222886,10.082326842,Earth
